inventor_id,name,country
fl:fe_ln:schreder-2,Felix Schreder,DE
fl:yu_ln:tanaka-37,Yuji Tanaka,JP
fl:ni_ln:damour-2,Nicole Miller Damour,US
fl:wi_ln:patterson-6,William R. Patterson,US
fl:ko_ln:kaplanis-1,Kostas Kaplanis,US
fl:to_ln:nagano-7,Toshihiko Nagano,JP
fl:de_ln:babin-2,Denis Babin,CA
fl:ho_ln:chen-206,Hongkai CHEN,CN
fl:co_ln:gardner-1,Cornel Lewis Gardner,US
fl:in_ln:stuckert-1,Ines C. Stuckert,US
fl:de_ln:wong-19,Denny Wong,CA
000rzeceuzox3ciyjtnl2qzx0,Johannes Adrianes Maria Dofferhoff,NL
fl:sh_ln:saito-18,Shinji Saito,JP
fl:sh_ln:tsuda-23,Shingo Tsuda,JP
fl:ja_ln:lewin-2,Jason Lewin,US
fl:yo_ln:namizuka-1,Yoshiyuki Namizuka,JP
fl:ke_ln:fukushima-16,Keisuke Fukushima,JP
000s9qy0x4l3x4n99bv2a1qn4,April A. Barbour,US
fl:je_ln:bernard-11,Jean-Rene Bernard,FR
fl:se_ln:schmitt-3,Sebastian Schmitt,DE
fl:ku_ln:ulmer-2,Kurt Ulmer,US
fl:ig_ln:skvirsky-1,Igor Skvirsky,IL
fl:da_ln:wilson-62,David Matthew Wilson,GB
fl:se_ln:chae-30,Seung Wan Chae,KR
fl:sr_ln:komarneni-1,Sridhar Komarneni,US
fl:ro_ln:caruso-3,Robert Caruso,US
fl:th_ln:loga-1,Thomas Henry Loga,US
fl:jo_ln:priede-1,Jonas Calleja PRIEDE,GB
fl:pu_ln:shah-11,Pulkit Shah,IN
fl:ma_ln:imafuku-2,Masayuki Imafuku,JP
fl:da_ln:basulto-1,David Basulto,US
fl:mi_ln:huang-125,Ming-Zheng Huang,TW
fl:xi_ln:wu-313,Xin Wu,CN
fl:so_ln:carlson-1,Sonia P. Carlson,US
fl:ro_ln:waggener-1,Robert G. Waggener,US
fl:ka_ln:sawada-27,Kazuhide Sawada,JP
fl:ju_ln:sauer-5,Jude S. Sauer,US
fl:ro_ln:brill-2,Robert Brill,US
fl:ka_ln:fink-4,Kaitlin Elizabeth FINK,US
fl:po_ln:lin-79,Po-Kang Lin,TW
fl:ke_ln:jeffcoat-2,Keith Jeffcoat,GB
fl:ch_ln:ulrich-1,Christoph Ulrich,DE
fl:ke_ln:kim-115,Kevin Weejoung Kim,US
fl:eu_ln:kim-77,Eun Kyung Kim,KR
fl:ma_ln:sperling-4,Matthew Niven Sperling,US
000ua1xlntucefomeaptsceea,"William Mark Flintoff, Jr.",US
fl:da_ln:weitz-1,David A. Weitz,US
fl:be_ln:pelletier-5,Benoit Pelletier,CA
fl:jo_ln:lee-390,Jong S. Lee,US
fl:sh_ln:nakamura-89,Shigeru Nakamura,JP
fl:jo_ln:daniel-22,John Daniel,US
fl:ke_ln:ito-37,Kenji Ito,JP
fl:st_ln:sigurjonsson-3,Styrmir Sigurjonsson,US
fl:gi_ln:yuval-1,Gideon A. Yuval,US
